manufacturer_id,nm_manufacturer,country
58331,C.I. Cultivos Miramonte S.A.,Colombia
58332,Propagar Plantas,Colombia
58333,TAHAMI & CULTIFLORES S.A.,Colombia
58429,True Flowers SAS,Colombia
58443,Agroexpotaciones de Colombia SAS,Colombia
58447,Agropecuaria La Laguna,Colombia
58462,Ecoflower SAS,Colombia
58478,La Rosa De La Alegria,Ecuador
58481,Flor Encanto,Ecuador
58487,Alpa Roses,Ecuador
58494,C.I. Andean Fields SAS,Colombia
58505,Rumhora S.A.,Colombia
58506,Agroindustria Colombia Verde SAS,Colombia
58507,Fantasy Flowers S.A.S.,Colombia
58524,Greenex,Colombia
58552,CI Floral Distributors & Services S.A.S GRUPO TK7,Colombia
58561,C.I. Global Exchange,Colombia
58578,GARDAEXPORT S.A.,Ecuador
58579,FLORICOLA LA HERRADURA S.A.,Ecuador
58580,FLORISOL,Ecuador
58582,SANBEL FLOWERS CÍA. LTDA.,Ecuador
58584,AGRITAB AGRICOLA TABACUNDO CIA. LTDA.,Ecuador
58585,AGROSERVICIOS ANDINOS CAMACHO S.A.,Ecuador
58586,ARBUSTA CIA. LTDA.,Ecuador
58587,Agricola San Andres del Chaupi SA,Ecuador
58588,"AGRIFEG S.A. ""ANNE FLOWERS""",Ecuador
58589,AZAYA GARDENS CIA. LTDA.,Ecuador
58590,FLORELOY S.A.,Ecuador
58591,FLORES SANTA MONICA ÑANTA CIA. LTDA.,Ecuador
58592,FIORENTINA FLOWERS S.A.,Ecuador
58613,DREAM FARMS CIA. LTDA.,Ecuador
58641,DAVINCIROSES EXPORTACIONES CÍA. LTDA.,Ecuador
58642,FLORANATION PRODUCTORES DE FLORES,Ecuador
58644,C.I. FLORES COLON LTDA.,Colombia
58661,FINCA FLORENCANTO CIA. LTDA. FINENFLOR,Ecuador
58667,Arvi farms,Colombia
58674,SPRING ROSES,Ecuador
58675,FLORES DEL SUR FLORESUR CIA. LTDA.,Ecuador
58683,FLORES LA ALEGRÍA ALEFLOWERS CIA. LTDA.,Ecuador
58684,EDENROSES CIA. LTDA.,Ecuador
58685,ROSAPRIMA CIA. LTDA.,Ecuador
58686,ROSADEX CIA. LTDA.,Ecuador
58687,PLANTACIONES MALIMA CIA. LTDA.,Ecuador
58688,ROSAS DEL COTOPAXI CIA. LTDA. NATIVE BLOOMS,Ecuador
58689,HISPANOROSES CIA. LTDA.,Ecuador
58690,GENEROS ECUATORIANOS ECUAGENERA CIA. LTDA.,Ecuador
58691,INROSES S.A. I,Ecuador
58692,ROSAS DE PERUGACHI ROSASPE S.A.,Ecuador
58693,ROYALFLOWERS S.A.,Ecuador
58694,SANDE ECUADOR CIA. LTDA.,Ecuador
58700,HACIENDA SANTA FE FESAHA CIA. LTDA.,Ecuador
58701,JARDINES DE CAYAMBE CIA. LTDA.,Ecuador
58702,HILSEA INVESTMENTS,Ecuador
58704,TEXAS FLOWERS S.A.,Ecuador
58722,GROWFLOWERS PRODUCCIONES S.A.,Ecuador
58723,QUITO INOR FLOWERS TRADE CIA. LTDA.,Ecuador
58724,CAMPO Y TECNOLOGIA CAMPTEC S.C.C,Ecuador
58865,GUANGUILQUI AGROPECUARIA INDUSTRIAL S.A. GUAISA,Ecuador
58866,Flores Aurora S.A.S.,Colombia
58990,FEGACON CIA. LTDA.,Ecuador
58992,ALTA SIERRA,Ecuador
59231,Flores de Oriente S.A. C.I. - Oriente 1 (Lote 1) y Oriente 2 (Lote 2),Colombia
59266,MAJOR FARM DIRECT S.A.S.,Colombia
59294,Nardus S.A.,Colombia
59298,Florandina,Colombia
59309,Plazoleta Bazzani SAS,Colombia
59369,YASA S.A.S.,Colombia
59371,FLORES LA JULIANA S.A. JULFLORSA,Ecuador
59458,Proteas Andinas de Colombia SAS,Colombia
59525,Rosas de Aguaclara S.A.S,Colombia
59531,Matina Flowers SAS (Zelecta Trading),Colombia
59570,Sachaflor,Ecuador
59571,PACIFIC SUN,Ecuador
59573,JENNY FLOWERS,Colombia
59581,Magic Flowers,Ecuador
59582,Agrinag S.A.,Ecuador
59583,Unique Collection Ecuador,Ecuador
59584,AMERICAN FLOWERS MEDELLIN,Colombia
59585,UNIQUE COLOMBIA S.A.,Colombia
59586,Clarivel Cia Ltda,Ecuador
59587,Agrinag S.A.,Ecuador
59588,C.I. Flexport de Colombia S.A.S.,Colombia
59589,C.I. Agrícola Cardenal S.A.S.,Colombia
59590,C.I. Flores del Río S.A.S.,Colombia
59595,C.I. Ornamentales De Colombia S.A.,Colombia
59605,Profile Flowers Inc.,Ecuador
59620,FOLLAJES LA ILUSION S.A.S.,Colombia
59659,Flores Esmeralda S.A.S C.I,Colombia
59664,CULTIVOS MANZANARES S.A.S,Colombia
59714,Inversiones Yakaren S A S,Colombia
59715,FLOWER COLORS S A S,Colombia
59729,Amaflor,Ecuador
59735,JET FRESH FLOWERS,Ecuador
59888,Turflor S.A.S,Colombia
59961,Floricola Attaroses Cia. Ltda.,Ecuador
59998,Agroterranorte xx,Ecuador
60100,Evergreen,Ecuador
60102,Rosas del Corazon,Ecuador
60144,Ecoflor Groupe Chilli,Ecuador
60219,Allegrofarms Allflowers Cia Ltda.,Ecuador
60290,Novelfarmss S.A.S.,Ecuador
60292,Comercializadora AMN Almanti,Ecuador
60391,Flores el Pandero,Colombia
60393,Finca Ecuagarden,Ecuador
60394,Singing Flowers,Ecuador
60395,Miracle Garden,Ecuador
60444,Darwin Colombia SAS,Colombia
60540,Flores de Serrezuela,Colombia
60541,Andrea Roses by Floralstar,Ecuador
60542,Flores Prisma,Colombia
60543,Rosas Tesalia,Colombia
60544,Flores El Progreso SAS,Colombia
60545,Much Flowers,Ecuador
60546,Rose Success,Ecuador
60547,Life Flowers,Ecuador
